id,name,gender,date_of_birth,country,team
8861,Arnaut Danjuma,male,1997-01-31T00:00:00+00:00,NL,Villarreal CF
67,Asier Illarramendi,male,1990-03-08T00:00:00+00:00,ES,Real Sociedad
2023,Asier Villalibre,male,1997-09-30T00:00:00+00:00,ES,Athletic Club
17035,Augusto Solari,male,1992-01-03T00:00:00+00:00,AR,RC Celta
4689,Axel Werner,male,1996-02-28T00:00:00+00:00,AR,
4611,Aïssa Mandi,male,1991-10-22T00:00:00+00:00,DZ,Villarreal CF
21673,Alejandro Balde Martínez,male,2003-10-18T00:00:00+00:00,ES,FC Barcelona
9762,Iván Martínez Gonzálvez,male,1998-08-17T00:00:00+00:00,ES,CA Osasuna
1733,Tiago Manuel Dias Correia,male,1990-07-12T00:00:00+00:00,,Rayo Vallecano
18315,Benjamin Lecomte,male,1991-04-26T00:00:00+00:00,FR,Atlético de Madrid
15848,Beñat Turrientes,male,2002-01-31T00:00:00+00:00,ES,R. Sociedad B
1720,Borja Iglesias,male,1993-01-17T00:00:00+00:00,ES,Real Betis
1819,Borja Mayoral,male,1997-04-05T00:00:00+00:00,ES,Getafe CF
18422,Boulaye Dia,male,1996-11-16T00:00:00+00:00,SN,Villarreal CF
6300,Brais Méndez,male,1997-01-07T00:00:00+00:00,ES,RC Celta
1802,Brian Oliván,male,1994-04-01T00:00:00+00:00,ES,RCD Mallorca
9640,Bryan Gil,male,2001-02-11T00:00:00+00:00,ES,Valencia CF
16495,Bryan Zaragoza,male,2001-09-09T00:00:00+00:00,ES,Granada CF
4319,Carles Aleñá,male,1998-01-05T00:00:00+00:00,ES,Getafe CF
14952,Carles Marco,male,2000-04-05T00:00:00+00:00,ES,Elche CF
15514,Carlo García,male,2001-02-12T00:00:00+00:00,ES,Villarreal CF
297,Carlos Akapo Martínez,male,1993-03-12T00:00:00+00:00,GQ,Cádiz CF
147,Carlos Bacca,male,1986-09-08T00:00:00+00:00,CO,Granada CF
25380,Carlos Benítez Royo,male,2002-11-25T00:00:00+00:00,ES,Levante UD
1038,Carlos Clerc,male,1992-02-21T00:00:00+00:00,ES,Levante UD
16957,Carlos Domínguez,male,2001-02-11T00:00:00+00:00,ES,RC Celta
26562,Carlos Giménez,male,2003-02-18T00:00:00+00:00,ES,Levante UD
22855,Carlos Martín Domínguez,male,2002-04-22T00:00:00+00:00,ES,Atlético de Madrid
9535,Carlos Neva,male,1996-06-12T00:00:00+00:00,ES,Granada CF
4451,Carlos Soler,male,1997-01-02T00:00:00+00:00,ES,Valencia CF
68,Carlos Henrique Casimiro,male,1992-02-23T00:00:00+00:00,BR,Real Madrid
18847,Cesar Fernandez,male,2004-01-28T00:00:00+00:00,ES,RC Celta
23119,Carlos Manuel Pérez Sánchez,male,2002-06-07T00:00:00+00:00,ES,Valencia CF
14260,Cheikh Kane Sarr,male,2000-04-21T00:00:00+00:00,SN,Granada CF
1045,José Manuel Rodríguez Benito,male,1992-03-03T00:00:00+00:00,ES,SD Eibar
6236,Ezequiel Ávila,male,1994-02-06T00:00:00+00:00,AR,CA Osasuna
17046,Diego Trueba Chinchurreta,male,2002-03-05T00:00:00+00:00,ES,Getafe CF
680,Claudio Bravo,male,1983-04-13T00:00:00+00:00,CL,Real Betis
4136,Clément Grenier,male,1991-01-07T00:00:00+00:00,FR,RCD Mallorca
